num_wavefunction, num_electrons, time, size
1, 1, 255, 1
101, 1, 1422, 47
201, 1, 2417, 61
301, 1, 3400, 63
401, 1, 4453, 64
501, 1, 5437, 64
601, 1, 6460, 64
701, 1, 7410, 64
801, 1, 8566, 64
901, 1, 9601, 64
1001, 1, 10431, 64
1101, 1, 11578, 64
1201, 1, 12516, 64
1301, 1, 13406, 64
1401, 1, 15206, 64
1501, 1, 15548, 64
1601, 1, 16370, 64
1701, 1, 17540, 64
1801, 1, 18514, 64
1901, 1, 19513, 64
2001, 1, 20516, 64
2101, 1, 21637, 64
2201, 1, 22373, 64
2301, 1, 23501, 64
2401, 1, 24550, 64
2501, 1, 25566, 64
2601, 1, 26627, 64
2701, 1, 27434, 64
2801, 1, 28558, 64
2901, 1, 29783, 64
3001, 1, 30634, 64
3101, 1, 31589, 64
3201, 1, 32870, 64
3301, 1, 33630, 64
3401, 1, 34535, 64
3501, 1, 35619, 64
3601, 1, 36658, 64
3701, 1, 37525, 64
3801, 1, 38895, 64
3901, 1, 39962, 64
4001, 1, 41426, 64
4101, 1, 42722, 64
4201, 1, 43467, 64
4301, 1, 44118, 64
4401, 1, 44958, 64
4501, 1, 46090, 64
4601, 1, 46916, 64
4701, 1, 48056, 64
4801, 1, 48901, 64
4901, 1, 50000, 64
5001, 1, 50915, 64
5101, 1, 51843, 64
5201, 1, 53013, 64
5301, 1, 54024, 64
5401, 1, 55401, 64
5501, 1, 56321, 64
5601, 1, 57218, 64
5701, 1, 58012, 64
5801, 1, 58976, 64
5901, 1, 60291, 64
6001, 1, 61181, 64
6101, 1, 62307, 64
6201, 1, 63095, 64
6301, 1, 64594, 64
6401, 1, 65133, 64
6501, 1, 65895, 64
6601, 1, 67305, 64
6701, 1, 68320, 64
6801, 1, 69410, 64
6901, 1, 70203, 64
7001, 1, 71302, 64
7101, 1, 72319, 64
7201, 1, 73462, 64
7301, 1, 74158, 64
7401, 1, 75794, 64
7501, 1, 76196, 64
7601, 1, 77409, 64
7701, 1, 78582, 64
7801, 1, 79812, 64
7901, 1, 80535, 64
8001, 1, 81402, 64
8101, 1, 82609, 64
8201, 1, 83040, 64
8301, 1, 83909, 64
8401, 1, 85255, 64
8501, 1, 85873, 64
8601, 1, 87561, 64
8701, 1, 88108, 64
8801, 1, 89850, 64
8901, 1, 90435, 64
9001, 1, 90887, 64
9101, 1, 92083, 65
9201, 1, 93513, 64
9301, 1, 94135, 64
9401, 1, 95274, 64
9501, 1, 96683, 64
9601, 1, 97469, 64
9701, 1, 98765, 64
9801, 1, 99376, 64
9901, 1, 100641, 64
1, 2, 579, 1
101, 2, 1538, 100
201, 2, 2625, 199
301, 2, 3619, 285
401, 2, 4645, 368
501, 2, 5586, 452
601, 2, 6579, 517
701, 2, 7612, 592
801, 2, 8547, 671
901, 2, 9622, 723
1001, 2, 10627, 797
1101, 2, 11594, 877
1201, 2, 12550, 922
1301, 2, 13677, 978
1401, 2, 14771, 1045
1501, 2, 15923, 1073
1601, 2, 16903, 1122
1701, 2, 17925, 1184
1801, 2, 18938, 1213
1901, 2, 19954, 1254
2001, 2, 20909, 1290
2101, 2, 21831, 1369
2201, 2, 23002, 1384
2301, 2, 24065, 1413
2401, 2, 24799, 1451
2501, 2, 25897, 1491
2601, 2, 26900, 1509
2701, 2, 27997, 1548
2801, 2, 29005, 1575
2901, 2, 30491, 1591
