num_wavefunction, num_operator, time
8201, 21, 18485
8301, 21, 17401
8401, 21, 19145
8501, 21, 16883
8601, 21, 17346
8701, 21, 16176
8801, 21, 17437
8901, 21, 17636
9001, 21, 17041
9101, 21, 19386
9201, 21, 18158
9301, 21, 17681
9401, 21, 19074
9501, 21, 17241
9601, 21, 18665
9701, 21, 19288
9801, 21, 17370
9901, 21, 17984
1, 31, 16306
101, 31, 16150
201, 31, 17279
301, 31, 15888
401, 31, 15925
501, 31, 14928
601, 31, 17689
701, 31, 17349
801, 31, 17809
901, 31, 21012
1001, 31, 22027
1101, 31, 23709
1201, 31, 21929
1301, 31, 20558
1401, 31, 21504
1501, 31, 24415
1601, 31, 22671
1701, 31, 24853
1801, 31, 26107
1901, 31, 25537
2001, 31, 23233
2101, 31, 23466
2201, 31, 23219
2301, 31, 25243
2401, 31, 26232
2501, 31, 24470
2601, 31, 26643
2701, 31, 25149
2801, 31, 23397
2901, 31, 25383
3001, 31, 26402
3101, 31, 26243
3201, 31, 24570
3301, 31, 26255
3401, 31, 23981
3501, 31, 24544
3601, 31, 25627
3701, 31, 23343
3801, 31, 25205
3901, 31, 25710
4001, 31, 25593
4101, 31, 25033
4201, 31, 25789
4301, 31, 23597
4401, 31, 26414
4501, 31, 25108
4601, 31, 24014
4701, 31, 23701
4801, 31, 24763
4901, 31, 23927
5001, 31, 25614
5101, 31, 23642
5201, 31, 25820
5301, 31, 26443
5401, 31, 23996
5501, 31, 25955
5601, 31, 25481
5701, 31, 26045
5801, 31, 24756
5901, 31, 26621
6001, 31, 24068
6101, 31, 23412
6201, 31, 23907
6301, 31, 25217
6401, 31, 25908
6501, 31, 25022
6601, 31, 24221
6701, 31, 23199
6801, 31, 25888
6901, 31, 26632
7001, 31, 26622
7101, 31, 28037
7201, 31, 26153
7301, 31, 28750
7401, 31, 26668
7501, 31, 23076
7601, 31, 29189
7701, 31, 24422
7801, 31, 24467
7901, 31, 27476
8001, 31, 24273
8101, 31, 24649
8201, 31, 25466
8301, 31, 25528
8401, 31, 25936
8501, 31, 25834
8601, 31, 25736
8701, 31, 24523
8801, 31, 25179
8901, 31, 26605
9001, 31, 26318
9101, 31, 26681
9201, 31, 24976
9301, 31, 27377
9401, 31, 26861
9501, 31, 29695
9601, 31, 26477
9701, 31, 28508
9801, 31, 27184
9901, 31, 24421
1, 41, 21039
101, 41, 21721
201, 41, 23225
301, 41, 25575
401, 41, 22400
501, 41, 23657
601, 41, 24596
701, 41, 28093
801, 41, 26722
901, 41, 28091
1001, 41, 28356
1101, 41, 28369
1201, 41, 31024
1301, 41, 28754
1401, 41, 30588
1501, 41, 29067
1601, 41, 34104
1701, 41, 32666
1801, 41, 32139
1901, 41, 31947
2001, 41, 30166
2101, 41, 32970
2201, 41, 32801
2301, 41, 30792
2401, 41, 32137
2501, 41, 34919
2601, 41, 31149
2701, 41, 31213
2801, 41, 31838
2901, 41, 33212
3001, 41, 31881
3101, 41, 34622
3201, 41, 33315
3301, 41, 37167
3401, 41, 32544
3501, 41, 32258
3601, 41, 31728
3701, 41, 32627
3801, 41, 34969
3901, 41, 29960
4001, 41, 32277
4101, 41, 32278
4201, 41, 32360
4301, 41, 34315
4401, 41, 32301
4501, 41, 34283
4601, 41, 32395
4701, 41, 32811
4801, 41, 31056
4901, 41, 35217
5001, 41, 34289
5101, 41, 33970
5201, 41, 32389
5301, 41, 32566
5401, 41, 32327
5501, 41, 32830
5601, 41, 31326
5701, 41, 32477
5801, 41, 32832
5901, 41, 35726
6001, 41, 32954
6101, 41, 32426
6201, 41, 35079
6301, 41, 33242
6401, 41, 35246
6501, 41, 34536
6601, 41, 36025
6701, 41, 34480
6801, 41, 33210
6901, 41, 31990
7001, 41, 36707
7101, 41, 37054
7201, 41, 35806
7301, 41, 32878
7401, 41, 29207
7501, 41, 31791
7601, 41, 32546
7701, 41, 31886
7801, 41, 33534
7901, 41, 33974
8001, 41, 33300
8101, 41, 31125
8201, 41, 34681
8301, 41, 35331
8401, 41, 33799
8501, 41, 32340
8601, 41, 36497
8701, 41, 33315
8801, 41, 37131
8901, 41, 35559
9001, 41, 36224
9101, 41, 37515
9201, 41, 34990
9301, 41, 34309
9401, 41, 32722
9501, 41, 37125
9601, 41, 34376
9701, 41, 33380
9801, 41, 35461
9901, 41, 35978
1, 51, 26850
101, 51, 27664
201, 51, 28691
301, 51, 33260
401, 51, 26859
501, 51, 28407
601, 51, 30072
701, 51, 33230
801, 51, 34325
901, 51, 31989
1001, 51, 34453
1101, 51, 36401
1201, 51, 36833
1301, 51, 38346
1401, 51, 41222
1501, 51, 37105
1601, 51, 39724
1701, 51, 40922
1801, 51, 40086
1901, 51, 37776
2001, 51, 41294
2101, 51, 39985
2201, 51, 37802
2301, 51, 39472
2401, 51, 40102
2501, 51, 42695
2601, 51, 40779
2701, 51, 41631
2801, 51, 40250
2901, 51, 41681
3001, 51, 39271
3101, 51, 42478
3201, 51, 44992
3301, 51, 39346
3401, 51, 39910
3501, 51, 39409
3601, 51, 41608
3701, 51, 40690
3801, 51, 42195
3901, 51, 46474
4001, 51, 44464
4101, 51, 39376
4201, 51, 40358
4301, 51, 41735
4401, 51, 43494
4501, 51, 44290
4601, 51, 40430
4701, 51, 43405
4801, 51, 41809
4901, 51, 40551
5001, 51, 46381
5101, 51, 42597
5201, 51, 40414
5301, 51, 40817
5401, 51, 40673
5501, 51, 41173
5601, 51, 42486
5701, 51, 40918
5801, 51, 41702
5901, 51, 42943
6001, 51, 42283
6101, 51, 37640
6201, 51, 41279
6301, 51, 38695
6401, 51, 39018
6501, 51, 41127
6601, 51, 44152
6701, 51, 42602
6801, 51, 43614
6901, 51, 39457
7001, 51, 43808
7101, 51, 43391
7201, 51, 38948
7301, 51, 40353
7401, 51, 39511
7501, 51, 41896
7601, 51, 40258
7701, 51, 41735
7801, 51, 39740
7901, 51, 44081
8001, 51, 42803
8101, 51, 45213
8201, 51, 42801
8301, 51, 42797
8401, 51, 43140
8501, 51, 42755
8601, 51, 42572
8701, 51, 43936
8801, 51, 41482
8901, 51, 44142
9001, 51, 39981
9101, 51, 41605
9201, 51, 43087
9301, 51, 42682
9401, 51, 41819
9501, 51, 43067
9601, 51, 43641
9701, 51, 42815
9801, 51, 43384
9901, 51, 44918
1, 61, 31157
101, 61, 35395
201, 61, 35205
301, 61, 42463
401, 61, 34027
501, 61, 35316
601, 61, 40982
701, 61, 37966
801, 61, 42947
901, 61, 39878
1001, 61, 46356
1101, 61, 45081
1201, 61, 46384
1301, 61, 49175
1401, 61, 47229
1501, 61, 45131
1601, 61, 44617
1701, 61, 47537
1801, 61, 45997
1901, 61, 47792
2001, 61, 45506
2101, 61, 45963
2201, 61, 44019
2301, 61, 42563
2401, 61, 48065
2501, 61, 49117
2601, 61, 49998
2701, 61, 46336
2801, 61, 51114
2901, 61, 46166
3001, 61, 49800
3101, 61, 49954
3201, 61, 49720
3301, 61, 47764
3401, 61, 49467
3501, 61, 51013
3601, 61, 49629
3701, 61, 48794
3801, 61, 45833
3901, 61, 51451
4001, 61, 47089
4101, 61, 47851
4201, 61, 49725
4301, 61, 49131
4401, 61, 49964
4501, 61, 48951
4601, 61, 51239
4701, 61, 52418
4801, 61, 48971
4901, 61, 50876
5001, 61, 48113
5101, 61, 46523
5201, 61, 49513
5301, 61, 48502
5401, 61, 52021
5501, 61, 51091
5601, 61, 50727
5701, 61, 50089
5801, 61, 47830
5901, 61, 49681
6001, 61, 51530
6101, 61, 49978
6201, 61, 47993
6301, 61, 47000
6401, 61, 48306
6501, 61, 48079
6601, 61, 51522
6701, 61, 48721
6801, 61, 48964
6901, 61, 47637
7001, 61, 52520
7101, 61, 52504
7201, 61, 51882
7301, 61, 45854
7401, 61, 43625
7501, 61, 45697
7601, 61, 51587
7701, 61, 50301
7801, 61, 51221
7901, 61, 53102
8001, 61, 51078
8101, 61, 52114
8201, 61, 48925
8301, 61, 49182
8401, 61, 50081
8501, 61, 53389
8601, 61, 50564
8701, 61, 51951
8801, 61, 50116
8901, 61, 51425
9001, 61, 50367
9101, 61, 48718
9201, 61, 52679
9301, 61, 52344
9401, 61, 52467
9501, 61, 47976
9601, 61, 49522
9701, 61, 48784
9801, 61, 50843
9901, 61, 48752
1, 71, 45562
101, 71, 43858
201, 71, 42998
301, 71, 44437
401, 71, 38522
501, 71, 41410
601, 71, 46928
701, 71, 50135
801, 71, 50749
901, 71, 49856
1001, 71, 52137
1101, 71, 49806
1201, 71, 52540
1301, 71, 54447
1401, 71, 55312
1501, 71, 56038
1601, 71, 55142
1701, 71, 53937
1801, 71, 57147
1901, 71, 57419
2001, 71, 56655
2101, 71, 59334
2201, 71, 60109
2301, 71, 55706
2401, 71, 60070
2501, 71, 54374
2601, 71, 54137
2701, 71, 59374
2801, 71, 56090
2901, 71, 58160
3001, 71, 56977
3101, 71, 54020
3201, 71, 51374
3301, 71, 56422
3401, 71, 54319
3501, 71, 56049
3601, 71, 53306
3701, 71, 55750
3801, 71, 55413
3901, 71, 54873
4001, 71, 53915
4101, 71, 56208
4201, 71, 51039
4301, 71, 51462
4401, 71, 53939
4501, 71, 51939
4601, 71, 51631
4701, 71, 50260
4801, 71, 50634
4901, 71, 55100
5001, 71, 55275
5101, 71, 51782
5201, 71, 52782
5301, 71, 50214
5401, 71, 51365
5501, 71, 51572
5601, 71, 57023
5701, 71, 55888
5801, 71, 54531
5901, 71, 51454
6001, 71, 51766
6101, 71, 51455
6201, 71, 56466
6301, 71, 53423
