num_operators, num_electrons, time, size
1, 1, 406, 1
101, 1, 31963, 2
201, 1, 65001, 5
301, 1, 91074, 6
401, 1, 127279, 12
501, 1, 175784, 23
601, 1, 240258, 46
701, 1, 325947, 57
801, 1, 411690, 69
901, 1, 538117, 135
1, 2, 452, 1
101, 2, 31705, 2
201, 2, 64899, 5
301, 2, 98352, 7
401, 2, 136551, 17
501, 2, 199636, 59
601, 2, 340444, 170
701, 2, 755076, 582
801, 2, 1736636, 1342
1, 3, 13203, 1
101, 3, 65411, 10
201, 3, 144757, 45
301, 3, 326107, 135
401, 3, 957717, 519
