num_operators, num_electrons, time, size
1, 1, 428, 1
101, 1, 33777, 2
201, 1, 65251, 5
301, 1, 93113, 6
401, 1, 129713, 12
501, 1, 177777, 23
601, 1, 244004, 46
701, 1, 331585, 57
801, 1, 423010, 69
901, 1, 546834, 135
1001, 1, 849171, 444
1101, 1, 1669120, 1114
1201, 1, 4409856, 6354
1301, 1, 51759717, 158102
1, 2, 1337, 1
101, 2, 36865, 2
201, 2, 72179, 5
301, 2, 106389, 7
401, 2, 144279, 17
501, 2, 220218, 59
601, 2, 361887, 170
701, 2, 782939, 582
801, 2, 1773872, 1342
901, 2, 4287980, 4534
1001, 2, 14925309, 18675
1101, 2, 44711026, 38361
1, 3, 1100, 1
101, 3, 40924, 10
201, 3, 90830, 45
301, 3, 192193, 135
401, 3, 519277, 519
501, 3, 2615366, 3990
601, 3, 19694995, 41153
1, 4, 1206, 1
101, 4, 50274, 50
201, 4, 290927, 463
301, 4, 1314004, 2518
401, 4, 9047550, 18039
1, 5, 1525, 1
101, 5, 41302, 20
201, 5, 461245, 1052
301, 5, 4044665, 11471
1, 6, 1254, 1
101, 6, 58420, 100
201, 6, 1602109, 4292
301, 6, 30045829, 116259
1, 7, 1195, 1
101, 7, 58619, 100
201, 7, 4711636, 14039
1, 8, 1292, 1
101, 8, 57587, 120
201, 8, 10170869, 41676
1, 9, 1303, 1
101, 9, 60764, 120
201, 9, 10601185, 41676
1, 10, 1331, 1
101, 10, 52977, 80
1, 11, 1218, 1
101, 11, 56416, 120
1, 12, 1155, 1
101, 12, 135286, 612
1, 13, 1157, 2
101, 13, 546183, 2752
1, 14, 988, 1
101, 14, 652959, 4160
1, 15, 964, 1
101, 15, 567351, 3264
1, 16, 1050, 2
101, 16, 844400, 7616
1, 17, 1560, 1
101, 17, 776301, 4368
1, 18, 890, 1
101, 18, 633339, 5528
1, 19, 968, 1
101, 19, 690893, 5528
