num_wavefunction, num_operator, time
1, 1, 1784
101, 1, 659
201, 1, 661
301, 1, 696
401, 1, 717
501, 1, 762
601, 1, 757
701, 1, 682
801, 1, 1560
901, 1, 1756
1001, 1, 688
1101, 1, 1072
1201, 1, 708
1301, 1, 640
1401, 1, 1253
1501, 1, 699
1601, 1, 1269
1701, 1, 1178
1801, 1, 1030
1901, 1, 1822
2001, 1, 1156
2101, 1, 911
2201, 1, 1263
2301, 1, 1171
2401, 1, 1109
2501, 1, 1277
2601, 1, 1337
2701, 1, 1469
2801, 1, 1318
2901, 1, 1188
3001, 1, 1178
3101, 1, 1353
3201, 1, 1452
3301, 1, 1473
3401, 1, 1334
3501, 1, 1488
3601, 1, 1417
3701, 1, 1270
3801, 1, 1385
3901, 1, 1393
4001, 1, 2168
4101, 1, 1506
4201, 1, 1869
4301, 1, 1632
4401, 1, 1605
4501, 1, 1713
4601, 1, 1581
4701, 1, 1547
4801, 1, 1624
4901, 1, 1687
5001, 1, 1596
5101, 1, 1668
5201, 1, 1572
5301, 1, 1654
5401, 1, 1665
5501, 1, 1623
5601, 1, 1650
5701, 1, 1640
5801, 1, 1827
5901, 1, 1953
6001, 1, 1781
6101, 1, 1822
6201, 1, 1738
6301, 1, 2005
6401, 1, 2145
6501, 1, 1897
6601, 1, 1746
6701, 1, 1730
6801, 1, 2216
6901, 1, 2026
7001, 1, 1940
7101, 1, 1929
7201, 1, 1918
7301, 1, 2114
7401, 1, 2103
7501, 1, 2285
7601, 1, 2528
7701, 1, 2100
7801, 1, 1935
7901, 1, 1709
8001, 1, 2295
8101, 1, 1830
8201, 1, 2042
8301, 1, 1599
8401, 1, 3210
8501, 1, 2122
8601, 1, 1653
8701, 1, 1852
8801, 1, 1940
8901, 1, 1817
9001, 1, 1833
9101, 1, 1791
9201, 1, 3043
9301, 1, 1866
9401, 1, 1786
9501, 1, 2533
9601, 1, 2203
9701, 1, 1746
9801, 1, 1856
9901, 1, 1785
1, 11, 6793
101, 11, 4963
201, 11, 5092
301, 11, 6032
401, 11, 6529
501, 11, 5215
601, 11, 7256
701, 11, 7543
801, 11, 6826
901, 11, 7358
1001, 11, 7060
1101, 11, 7018
1201, 11, 8822
1301, 11, 7921
1401, 11, 8497
1501, 11, 8982
1601, 11, 9592
1701, 11, 9059
1801, 11, 7854
1901, 11, 10217
2001, 11, 8021
2101, 11, 9599
2201, 11, 8329
2301, 11, 9849
2401, 11, 7710
2501, 11, 9052
2601, 11, 8662
2701, 11, 9327
2801, 11, 9630
2901, 11, 8464
3001, 11, 10044
3101, 11, 8880
3201, 11, 11350
3301, 11, 8859
3401, 11, 10262
3501, 11, 7975
3601, 11, 9851
3701, 11, 10212
3801, 11, 9111
3901, 11, 7925
4001, 11, 10659
4101, 11, 8343
4201, 11, 10491
4301, 11, 9266
4401, 11, 9360
4501, 11, 8303
4601, 11, 9178
4701, 11, 8593
4801, 11, 10467
4901, 11, 8860
5001, 11, 8525
5101, 11, 9633
5201, 11, 8877
5301, 11, 9617
5401, 11, 8498
5501, 11, 9818
5601, 11, 8363
5701, 11, 9633
5801, 11, 9807
5901, 11, 9968
6001, 11, 8903
6101, 11, 11002
6201, 11, 8740
6301, 11, 11093
6401, 11, 9116
6501, 11, 10016
6601, 11, 8880
6701, 11, 9321
6801, 11, 9883
6901, 11, 10901
7001, 11, 10212
7101, 11, 9889
7201, 11, 9883
7301, 11, 10384
7401, 11, 9431
7501, 11, 9514
7601, 11, 9890
7701, 11, 10709
7801, 11, 9670
7901, 11, 10024
8001, 11, 9890
8101, 11, 9788
8201, 11, 10833
8301, 11, 9271
8401, 11, 10243
8501, 11, 10507
8601, 11, 9516
8701, 11, 9134
8801, 11, 10426
8901, 11, 10207
9001, 11, 10453
9101, 11, 9302
9201, 11, 9630
9301, 11, 10246
9401, 11, 10133
9501, 11, 9292
9601, 11, 9455
9701, 11, 9171
9801, 11, 11949
9901, 11, 11442
1, 21, 10532
101, 21, 11958
201, 21, 9156
301, 21, 13459
401, 21, 10432
501, 21, 11831
601, 21, 12954
701, 21, 11866
801, 21, 13606
901, 21, 11421
1001, 21, 13798
1101, 21, 14886
1201, 21, 14443
1301, 21, 14399
1401, 21, 15370
1501, 21, 15102
1601, 21, 16212
1701, 21, 15221
1801, 21, 15863
1901, 21, 16022
2001, 21, 16517
2101, 21, 16945
2201, 21, 15789
2301, 21, 15692
2401, 21, 15400
2501, 21, 17187
2601, 21, 16911
2701, 21, 17119
2801, 21, 17472
2901, 21, 17627
3001, 21, 16876
3101, 21, 18507
3201, 21, 17526
3301, 21, 16426
3401, 21, 16917
3501, 21, 16541
3601, 21, 17179
3701, 21, 16839
3801, 21, 16522
3901, 21, 16682
4001, 21, 16433
4101, 21, 17859
4201, 21, 17767
4301, 21, 19563
4401, 21, 17259
4501, 21, 18746
4601, 21, 16410
4701, 21, 18541
4801, 21, 18741
4901, 21, 17260
5001, 21, 17372
5101, 21, 16638
5201, 21, 18035
5301, 21, 17214
5401, 21, 17664
5501, 21, 17376
5601, 21, 16099
5701, 21, 18699
5801, 21, 18372
5901, 21, 17986
6001, 21, 18831
6101, 21, 17267
6201, 21, 17407
6301, 21, 17515
6401, 21, 17704
6501, 21, 16781
6601, 21, 19866
6701, 21, 16402
6801, 21, 18026
6901, 21, 18635
7001, 21, 17624
7101, 21, 19421
7201, 21, 17903
7301, 21, 19244
7401, 21, 18735
7501, 21, 17974
7601, 21, 17030
7701, 21, 16935
7801, 21, 18553
7901, 21, 18006
8001, 21, 18085
8101, 21, 16108
8201, 21, 17370
8301, 21, 19885
8401, 21, 19825
8501, 21, 17102
8601, 21, 17729
8701, 21, 17245
8801, 21, 17724
8901, 21, 19489
9001, 21, 19234
9101, 21, 19393
9201, 21, 17938
9301, 21, 18418
9401, 21, 19614
9501, 21, 17936
9601, 21, 18160
9701, 21, 16685
9801, 21, 17388
9901, 21, 18005
1, 31, 17663
101, 31, 16699
201, 31, 18703
301, 31, 17382
401, 31, 17229
501, 31, 17439
601, 31, 16964
701, 31, 16120
801, 31, 20489
901, 31, 20605
1001, 31, 23001
1101, 31, 23093
1201, 31, 21647
1301, 31, 21894
1401, 31, 23291
1501, 31, 24024
1601, 31, 23267
1701, 31, 25622
1801, 31, 25248
1901, 31, 23369
2001, 31, 24861
2101, 31, 25402
2201, 31, 24278
2301, 31, 24141
2401, 31, 25154
2501, 31, 22508
2601, 31, 27656
2701, 31, 23910
2801, 31, 24866
2901, 31, 23832
3001, 31, 25388
3101, 31, 25077
3201, 31, 23870
3301, 31, 23843
3401, 31, 26477
3501, 31, 24524
3601, 31, 24294
3701, 31, 23509
3801, 31, 24946
3901, 31, 25465
4001, 31, 25787
4101, 31, 24435
4201, 31, 23581
4301, 31, 25309
4401, 31, 25409
4501, 31, 24732
4601, 31, 25256
4701, 31, 23866
4801, 31, 26424
4901, 31, 25199
5001, 31, 24725
5101, 31, 24633
5201, 31, 25662
5301, 31, 24135
5401, 31, 25405
5501, 31, 28063
5601, 31, 25690
5701, 31, 22984
5801, 31, 23945
5901, 31, 24402
6001, 31, 25065
6101, 31, 24144
6201, 31, 24130
6301, 31, 22744
6401, 31, 24715
6501, 31, 23081
6601, 31, 24241
6701, 31, 22575
6801, 31, 23655
6901, 31, 24378
7001, 31, 24831
7101, 31, 25463
7201, 31, 22434
7301, 31, 22506
7401, 31, 23925
7501, 31, 21655
7601, 31, 23597
7701, 31, 21888
7801, 31, 22701
7901, 31, 26381
8001, 31, 25459
8101, 31, 22645
8201, 31, 23340
8301, 31, 23781
8401, 31, 28057
8501, 31, 23716
8601, 31, 24265
8701, 31, 25293
8801, 31, 22872
8901, 31, 24057
9001, 31, 22730
9101, 31, 25937
9201, 31, 25798
9301, 31, 25532
9401, 31, 23538
9501, 31, 25664
9601, 31, 24301
9701, 31, 25769
9801, 31, 25387
9901, 31, 25166
1, 41, 22593
101, 41, 22037
201, 41, 21137
301, 41, 22318
401, 41, 22512
501, 41, 23643
601, 41, 24559
701, 41, 22756
801, 41, 25629
901, 41, 26547
1001, 41, 26867
1101, 41, 26614
1201, 41, 29946
1301, 41, 28124
1401, 41, 29261
1501, 41, 30782
1601, 41, 28233
1701, 41, 32066
1801, 41, 31030
1901, 41, 29914
2001, 41, 27869
2101, 41, 29795
2201, 41, 28996
2301, 41, 31970
2401, 41, 32627
2501, 41, 32723
2601, 41, 30266
2701, 41, 30037
2801, 41, 31429
2901, 41, 32759
3001, 41, 30221
3101, 41, 31702
3201, 41, 27815
3301, 41, 31362
3401, 41, 29200
3501, 41, 33437
3601, 41, 30821
3701, 41, 29938
3801, 41, 30104
3901, 41, 31383
4001, 41, 29514
4101, 41, 32250
4201, 41, 31278
4301, 41, 31474
4401, 41, 30914
4501, 41, 30299
4601, 41, 31828
4701, 41, 29126
4801, 41, 34674
4901, 41, 33508
5001, 41, 30246
5101, 41, 29698
5201, 41, 29448
5301, 41, 30504
5401, 41, 30585
5501, 41, 30812
5601, 41, 30663
5701, 41, 33882
5801, 41, 31296
5901, 41, 32731
6001, 41, 31524
6101, 41, 28684
6201, 41, 33637
6301, 41, 31531
6401, 41, 30138
6501, 41, 31088
6601, 41, 31253
6701, 41, 30008
6801, 41, 29061
6901, 41, 29606
7001, 41, 33138
7101, 41, 30931
7201, 41, 33433
7301, 41, 31673
7401, 41, 26084
7501, 41, 29942
7601, 41, 30940
7701, 41, 29845
7801, 41, 31334
7901, 41, 30346
8001, 41, 31976
8101, 41, 28889
8201, 41, 33301
8301, 41, 32971
8401, 41, 35036
8501, 41, 31090
8601, 41, 31814
8701, 41, 29331
8801, 41, 31981
8901, 41, 34757
9001, 41, 30230
9101, 41, 31776
9201, 41, 33973
9301, 41, 32201
9401, 41, 32782
9501, 41, 30169
9601, 41, 32681
9701, 41, 32399
9801, 41, 33263
9901, 41, 33901
1, 51, 28586
101, 51, 28907
201, 51, 30233
301, 51, 29822
401, 51, 27710
501, 51, 28217
601, 51, 28357
701, 51, 35299
801, 51, 37321
901, 51, 31937
1001, 51, 36009
1101, 51, 37953
1201, 51, 37529
1301, 51, 37954
1401, 51, 36339
1501, 51, 36956
1601, 51, 35474
1701, 51, 38231
1801, 51, 39077
1901, 51, 38917
2001, 51, 37520
2101, 51, 35349
2201, 51, 39562
2301, 51, 39094
2401, 51, 38853
2501, 51, 39787
2601, 51, 38926
2701, 51, 36949
2801, 51, 38656
2901, 51, 37741
3001, 51, 36603
3101, 51, 37699
3201, 51, 38394
3301, 51, 35307
3401, 51, 35752
3501, 51, 39901
3601, 51, 38659
3701, 51, 37140
3801, 51, 39928
3901, 51, 39764
4001, 51, 38928
4101, 51, 40578
4201, 51, 40533
4301, 51, 39673
4401, 51, 35832
4501, 51, 39818
4601, 51, 36876
4701, 51, 38535
4801, 51, 37486
4901, 51, 37567
5001, 51, 38194
5101, 51, 37752
5201, 51, 36551
5301, 51, 37529
5401, 51, 38861
5501, 51, 40086
5601, 51, 38846
5701, 51, 39363
5801, 51, 38107
5901, 51, 36066
6001, 51, 38219
6101, 51, 37665
6201, 51, 36086
6301, 51, 36854
6401, 51, 36419
6501, 51, 36165
6601, 51, 39164
6701, 51, 38121
6801, 51, 39621
6901, 51, 37385
7001, 51, 39576
7101, 51, 42979
7201, 51, 35105
7301, 51, 41556
7401, 51, 35637
7501, 51, 39906
7601, 51, 36335
7701, 51, 39933
7801, 51, 37867
7901, 51, 42203
8001, 51, 38214
8101, 51, 37250
8201, 51, 40621
8301, 51, 39549
8401, 51, 36917
8501, 51, 38418
8601, 51, 39964
8701, 51, 41362
8801, 51, 42991
8901, 51, 42783
9001, 51, 40874
9101, 51, 43541
9201, 51, 40782
9301, 51, 39208
9401, 51, 41781
9501, 51, 41990
9601, 51, 42319
9701, 51, 37697
9801, 51, 40539
9901, 51, 39663
1, 61, 33426
101, 61, 36356
201, 61, 38500
301, 61, 41215
401, 61, 35232
501, 61, 36183
601, 61, 37144
701, 61, 38707
801, 61, 39981
901, 61, 40807
1001, 61, 44167
1101, 61, 41918
1201, 61, 41511
1301, 61, 42502
1401, 61, 43381
1501, 61, 45365
1601, 61, 47456
1701, 61, 45028
1801, 61, 45441
1901, 61, 44026
2001, 61, 49097
2101, 61, 45090
2201, 61, 46692
2301, 61, 44749
2401, 61, 46948
2501, 61, 44309
2601, 61, 45715
2701, 61, 43333
2801, 61, 45554
2901, 61, 45825
3001, 61, 48616
3101, 61, 43546
3201, 61, 46130
3301, 61, 46653
3401, 61, 47121
3501, 61, 47584
3601, 61, 49890
3701, 61, 48362
3801, 61, 48133
3901, 61, 48725
4001, 61, 50327
