num_wavefunction, num_operator, time
301, 21, 10585, 397
401, 21, 12751, 457
501, 21, 11628, 556
601, 21, 12855, 668
701, 21, 14000, 703
801, 21, 11881, 811
901, 21, 14463, 833
1001, 21, 14245, 1009
1101, 21, 12636, 1051
1201, 21, 15467, 1121
1301, 21, 17107, 1107
1401, 21, 16872, 1345
1501, 21, 15710, 1250
1601, 21, 15710, 1349
1701, 21, 17085, 1377
1801, 21, 17475, 1356
1901, 21, 17552, 1395
2001, 21, 15778, 1441
2101, 21, 17059, 1470
2201, 21, 16864, 1537
2301, 21, 17074, 1505
2401, 21, 16988, 1575
2501, 21, 17247, 1618
2601, 21, 17569, 1587
2701, 21, 17206, 1633
2801, 21, 16726, 1681
2901, 21, 18077, 1679
3001, 21, 17486, 1706
3101, 21, 15784, 1753
3201, 21, 18591, 1735
3301, 21, 18103, 1799
3401, 21, 17314, 1768
3501, 21, 16399, 1819
3601, 21, 18518, 1813
3701, 21, 16495, 1846
3801, 21, 15224, 1951
3901, 21, 16921, 1856
4001, 21, 18198, 1916
4101, 21, 16536, 1880
4201, 21, 16388, 1891
4301, 21, 17980, 1921
4401, 21, 19322, 1929
4501, 21, 16852, 1925
4601, 21, 17771, 1958
4701, 21, 16504, 1908
4801, 21, 16881, 1956
4901, 21, 18305, 1939
5001, 21, 17019, 1950
5101, 21, 16193, 1953
5201, 21, 18176, 1954
5301, 21, 18321, 1967
5401, 21, 17476, 1960
5501, 21, 18778, 1986
5601, 21, 16976, 2098
5701, 21, 17533, 1983
5801, 21, 18202, 1995
5901, 21, 17569, 1993
6001, 21, 16679, 2002
6101, 21, 17203, 2010
6201, 21, 18598, 2003
6301, 21, 18012, 1999
6401, 21, 17423, 2014
6501, 21, 17561, 2011
6601, 21, 18164, 2195
6701, 21, 17149, 2027
6801, 21, 17553, 2023
6901, 21, 16047, 2025
7001, 21, 17654, 2029
7101, 21, 16041, 2092
7201, 21, 17736, 2033
7301, 21, 16871, 2040
7401, 21, 18261, 2036
7501, 21, 17704, 2034
7601, 21, 17465, 2045
7701, 21, 17662, 2039
7801, 21, 17868, 2044
7901, 21, 17537, 2098
8001, 21, 20060, 2046
8101, 21, 17352, 2039
8201, 21, 18027, 2106
8301, 21, 18552, 2052
8401, 21, 19747, 2049
8501, 21, 17009, 2054
8601, 21, 17882, 2052
8701, 21, 18298, 2058
8801, 21, 17895, 2055
8901, 21, 19513, 2053
9001, 21, 17158, 2054
9101, 21, 19069, 2059
9201, 21, 17531, 2177
9301, 21, 18179, 2061
9401, 21, 19385, 2064
9501, 21, 18204, 2123
9601, 21, 17236, 2056
9701, 21, 17876, 2127
9801, 21, 18676, 2066
9901, 21, 19420, 2063
1, 31, 16418, 1
101, 31, 16202, 171
201, 31, 18404, 315
301, 31, 18444, 492
401, 31, 18976, 488
501, 31, 19140, 683
601, 31, 20056, 734
701, 31, 20112, 787
801, 31, 22812, 887
901, 31, 21748, 932
1001, 31, 23854, 1093
1101, 31, 23429, 1129
1201, 31, 23622, 1273
1301, 31, 23691, 1162
1401, 31, 22803, 1405
1501, 31, 25263, 1320
1601, 31, 23143, 1446
1701, 31, 22769, 1441
1801, 31, 21890, 1453
1901, 31, 24252, 1492
2001, 31, 23635, 1529
2101, 31, 25191, 1583
2201, 31, 24645, 1585
2301, 31, 25220, 1593
2401, 31, 26879, 1618
2501, 31, 26097, 1684
2601, 31, 26081, 1651
2701, 31, 23591, 1718
2801, 31, 25594, 1718
2901, 31, 26611, 1719
3001, 31, 25342, 1754
3101, 31, 23701, 1799
3201, 31, 23733, 1791
3301, 31, 26732, 1874
3401, 31, 24342, 1789
3501, 31, 25160, 1842
3601, 31, 24476, 1901
3701, 31, 26093, 1922
3801, 31, 24754, 2002
3901, 31, 24049, 1866
4001, 31, 26566, 1928
4101, 31, 24153, 1964
4201, 31, 24759, 1923
4301, 31, 24100, 1938
4401, 31, 27822, 1971
4501, 31, 23711, 1952
4601, 31, 24909, 1986
4701, 31, 23836, 1935
4801, 31, 25075, 1968
4901, 31, 23092, 1950
5001, 31, 24784, 1966
5101, 31, 25824, 1981
5201, 31, 25301, 1961
5301, 31, 25224, 1976
5401, 31, 26158, 1975
5501, 31, 25534, 1998
5601, 31, 24000, 2115
5701, 31, 25094, 1999
5801, 31, 25455, 2008
5901, 31, 25304, 2010
6001, 31, 24825, 2015
6101, 31, 24237, 2017
6201, 31, 26743, 2004
6301, 31, 25503, 2013
6401, 31, 26550, 2077
6501, 31, 25542, 2020
6601, 31, 25025, 2203
6701, 31, 24664, 2089
6801, 31, 24423, 2033
6901, 31, 25479, 2040
7001, 31, 26854, 2032
7101, 31, 24897, 2094
7201, 31, 26483, 2039
7301, 31, 23660, 2106
7401, 31, 24148, 2044
