num_wavefunction, num_operator, time
1, 1, 1054
101, 1, 852
201, 1, 668
301, 1, 702
401, 1, 737
501, 1, 763
601, 1, 783
701, 1, 742
801, 1, 1587
901, 1, 1226
1001, 1, 1041
1101, 1, 1579
1201, 1, 1572
1301, 1, 1968
1401, 1, 1305
1501, 1, 770
1601, 1, 1729
1701, 1, 1196
1801, 1, 1253
1901, 1, 1409
2001, 1, 1664
2101, 1, 1420
2201, 1, 1259
2301, 1, 1602
2401, 1, 1367
2501, 1, 1650
2601, 1, 2141
2701, 1, 1513
2801, 1, 1240
2901, 1, 1505
3001, 1, 1139
3101, 1, 1464
3201, 1, 1459
3301, 1, 2384
3401, 1, 1939
3501, 1, 2034
3601, 1, 1351
3701, 1, 1357
3801, 1, 1316
3901, 1, 1499
4001, 1, 2240
4101, 1, 1926
4201, 1, 1936
4301, 1, 2221
4401, 1, 1515
4501, 1, 2495
4601, 1, 1539
4701, 1, 1990
4801, 1, 1912
4901, 1, 1741
5001, 1, 2104
5101, 1, 1694
5201, 1, 1666
5301, 1, 1559
5401, 1, 2211
5501, 1, 2172
5601, 1, 1782
5701, 1, 1751
5801, 1, 1758
5901, 1, 2303
6001, 1, 1646
6101, 1, 2070
6201, 1, 1659
6301, 1, 1961
6401, 1, 2200
6501, 1, 1746
6601, 1, 1749
6701, 1, 1920
6801, 1, 2307
6901, 1, 2121
7001, 1, 2551
7101, 1, 2634
7201, 1, 1832
7301, 1, 2580
7401, 1, 2021
7501, 1, 2581
7601, 1, 2101
7701, 1, 3367
7801, 1, 2388
7901, 1, 2251
8001, 1, 2590
8101, 1, 2011
8201, 1, 1957
8301, 1, 2275
8401, 1, 3283
8501, 1, 2071
8601, 1, 1655
8701, 1, 2079
8801, 1, 2298
8901, 1, 1934
9001, 1, 1960
9101, 1, 2312
9201, 1, 2301
9301, 1, 1945
9401, 1, 1944
9501, 1, 2618
9601, 1, 2752
9701, 1, 1707
9801, 1, 1840
9901, 1, 1954
1, 11, 9356
101, 11, 8924
201, 11, 8199
301, 11, 9440
401, 11, 9718
501, 11, 8298
601, 11, 9579
701, 11, 8944
801, 11, 11089
901, 11, 10653
1001, 11, 11423
1101, 11, 10408
1201, 11, 11504
1301, 11, 10420
1401, 11, 12160
1501, 11, 11637
1601, 11, 10548
1701, 11, 11059
1801, 11, 9322
1901, 11, 12487
2001, 11, 9044
2101, 11, 11826
2201, 11, 11129
2301, 11, 11153
2401, 11, 10310
2501, 11, 11757
2601, 11, 12520
2701, 11, 10507
2801, 11, 12281
2901, 11, 9940
3001, 11, 11764
3101, 11, 10842
3201, 11, 13065
3301, 11, 11866
3401, 11, 9253
3501, 11, 13180
3601, 11, 9116
3701, 11, 12318
3801, 11, 11321
3901, 11, 10827
4001, 11, 11967
4101, 11, 11934
4201, 11, 12418
4301, 11, 10613
4401, 11, 11670
4501, 11, 11672
4601, 11, 12231
4701, 11, 12036
4801, 11, 11107
4901, 11, 11674
5001, 11, 13098
5101, 11, 11214
5201, 11, 13205
5301, 11, 12168
5401, 11, 11150
5501, 11, 12694
5601, 11, 11543
5701, 11, 11726
5801, 11, 11437
5901, 11, 10526
6001, 11, 12217
6101, 11, 11252
6201, 11, 11262
6301, 11, 14213
6401, 11, 10795
6501, 11, 11322
6601, 11, 11421
6701, 11, 13351
6801, 11, 12830
6901, 11, 10350
7001, 11, 13571
7101, 11, 10878
7201, 11, 12481
7301, 11, 12900
7401, 11, 10929
7501, 11, 12784
7601, 11, 13766
7701, 11, 12260
7801, 11, 12360
7901, 11, 13721
8001, 11, 10881
8101, 11, 13628
8201, 11, 11407
8301, 11, 12129
8401, 11, 13943
8501, 11, 12233
8601, 11, 12884
8701, 11, 12635
8801, 11, 10767
8901, 11, 14048
9001, 11, 11319
9101, 11, 11284
9201, 11, 12649
9301, 11, 10817
9401, 11, 12998
9501, 11, 13246
9601, 11, 12240
9701, 11, 12536
9801, 11, 13000
9901, 11, 12948
1, 21, 17235
101, 21, 15204
201, 21, 16203
301, 21, 17330
401, 21, 16649
501, 21, 16936
601, 21, 17505
701, 21, 18019
801, 21, 18012
901, 21, 21205
1001, 21, 19687
1101, 21, 19376
1201, 21, 19097
1301, 21, 18029
1401, 21, 21035
1501, 21, 21550
1601, 21, 22375
1701, 21, 20762
1801, 21, 20912
1901, 21, 22322
2001, 21, 21238
2101, 21, 20657
2201, 21, 19701
2301, 21, 21035
2401, 21, 22176
2501, 21, 22489
2601, 21, 21682
2701, 21, 19471
2801, 21, 22597
2901, 21, 20765
3001, 21, 20813
3101, 21, 21520
3201, 21, 23639
3301, 21, 20172
3401, 21, 21387
3501, 21, 21367
3601, 21, 19796
3701, 21, 21674
3801, 21, 22171
3901, 21, 20772
4001, 21, 19504
4101, 21, 22025
4201, 21, 20152
4301, 21, 19927
4401, 21, 19685
4501, 21, 21075
4601, 21, 23119
4701, 21, 22384
4801, 21, 23747
4901, 21, 22797
5001, 21, 22531
5101, 21, 21661
5201, 21, 21847
5301, 21, 22119
5401, 21, 21974
5501, 21, 22948
5601, 21, 23099
5701, 21, 24092
5801, 21, 22350
5901, 21, 22477
6001, 21, 22394
6101, 21, 21841
6201, 21, 19938
6301, 21, 22512
6401, 21, 22578
6501, 21, 21580
6601, 21, 21842
6701, 21, 22437
6801, 21, 21768
6901, 21, 21273
7001, 21, 23767
7101, 21, 22812
7201, 21, 22273
7301, 21, 21381
7401, 21, 23075
7501, 21, 24489
7601, 21, 21830
7701, 21, 20938
7801, 21, 22072
7901, 21, 21264
8001, 21, 22029
8101, 21, 22314
8201, 21, 25599
8301, 21, 22844
8401, 21, 23879
8501, 21, 23232
8601, 21, 21038
8701, 21, 21690
8801, 21, 23268
8901, 21, 22527
9001, 21, 22243
9101, 21, 22563
9201, 21, 19756
9301, 21, 21080
9401, 21, 23277
9501, 21, 22986
9601, 21, 21866
9701, 21, 24109
9801, 21, 21486
9901, 21, 22258
1, 31, 25293
101, 31, 25077
201, 31, 27945
301, 31, 28552
401, 31, 28116
501, 31, 28756
601, 31, 31237
701, 31, 26405
801, 31, 31168
901, 31, 30169
1001, 31, 28366
1101, 31, 29761
1201, 31, 26286
1301, 31, 28717
1401, 31, 30029
1501, 31, 31386
1601, 31, 32667
1701, 31, 31695
1801, 31, 30530
1901, 31, 28541
2001, 31, 28569
2101, 31, 30839
2201, 31, 30177
2301, 31, 29801
2401, 31, 30287
2501, 31, 30743
2601, 31, 29089
2701, 31, 30685
2801, 31, 29721
2901, 31, 32555
3001, 31, 28216
3101, 31, 30756
3201, 31, 29581
3301, 31, 29775
3401, 31, 29853
3501, 31, 31307
3601, 31, 32759
3701, 31, 32091
3801, 31, 31645
3901, 31, 31720
4001, 31, 32925
4101, 31, 32082
4201, 31, 32885
4301, 31, 32330
4401, 31, 31238
4501, 31, 29755
4601, 31, 31001
4701, 31, 34670
4801, 31, 33945
4901, 31, 30995
5001, 31, 32821
5101, 31, 29733
5201, 31, 32212
5301, 31, 33970
5401, 31, 32401
5501, 31, 31771
5601, 31, 33174
5701, 31, 31288
5801, 31, 32314
5901, 31, 29472
6001, 31, 32730
6101, 31, 30612
6201, 31, 30757
6301, 31, 35055
6401, 31, 31073
6501, 31, 31539
6601, 31, 32992
6701, 31, 32843
6801, 31, 32281
6901, 31, 33590
7001, 31, 34896
7101, 31, 34710
7201, 31, 31570
7301, 31, 31320
7401, 31, 33640
7501, 31, 35701
7601, 31, 28468
7701, 31, 31979
7801, 31, 30919
7901, 31, 33194
8001, 31, 32348
8101, 31, 33572
8201, 31, 31662
8301, 31, 34146
8401, 31, 33221
8501, 31, 34447
8601, 31, 32212
8701, 31, 30907
8801, 31, 32932
8901, 31, 36348
9001, 31, 30772
9101, 31, 31618
9201, 31, 31494
9301, 31, 31637
9401, 31, 32480
9501, 31, 31190
9601, 31, 33869
9701, 31, 31571
9801, 31, 31535
9901, 31, 34149
1, 41, 39968
101, 41, 38010
201, 41, 39200
301, 41, 35779
401, 41, 42139
501, 41, 37216
601, 41, 33739
701, 41, 36831
801, 41, 41472
901, 41, 40161
1001, 41, 39908
1101, 41, 40627
1201, 41, 37957
1301, 41, 39958
1401, 41, 41618
1501, 41, 38414
1601, 41, 36453
1701, 41, 41065
1801, 41, 42698
1901, 41, 42323
2001, 41, 43480
2101, 41, 43182
2201, 41, 40735
2301, 41, 40311
2401, 41, 39850
2501, 41, 39742
2601, 41, 41385
2701, 41, 42368
2801, 41, 41205
2901, 41, 41390
3001, 41, 40929
3101, 41, 42647
3201, 41, 40237
3301, 41, 42604
3401, 41, 42611
3501, 41, 41459
3601, 41, 39614
3701, 41, 44285
3801, 41, 42165
3901, 41, 40251
4001, 41, 43812
4101, 41, 42854
4201, 41, 38534
4301, 41, 44107
4401, 41, 39205
4501, 41, 37792
4601, 41, 38831
4701, 41, 40449
4801, 41, 43774
4901, 41, 41946
5001, 41, 41556
5101, 41, 44370
5201, 41, 42464
5301, 41, 39684
5401, 41, 42743
5501, 41, 41106
5601, 41, 41141
5701, 41, 45982
5801, 41, 42351
5901, 41, 43363
6001, 41, 42752
6101, 41, 44789
6201, 41, 42709
6301, 41, 42777
6401, 41, 42824
6501, 41, 42891
6601, 41, 45762
6701, 41, 41610
6801, 41, 42263
6901, 41, 41927
7001, 41, 44110
7101, 41, 43110
7201, 41, 41392
7301, 41, 43709
7401, 41, 42901
7501, 41, 46948
7601, 41, 41688
7701, 41, 43830
7801, 41, 41915
7901, 41, 42544
8001, 41, 44784
8101, 41, 42496
8201, 41, 41921
8301, 41, 41305
8401, 41, 43095
8501, 41, 41190
8601, 41, 42043
8701, 41, 44186
8801, 41, 44089
8901, 41, 43089
9001, 41, 44219
9101, 41, 44956
9201, 41, 43998
9301, 41, 42304
9401, 41, 39898
9501, 41, 43246
9601, 41, 44823
9701, 41, 41889
9801, 41, 45582
9901, 41, 43301
1, 51, 47581
101, 51, 42949
201, 51, 44237
301, 51, 40961
401, 51, 43945
501, 51, 45318
601, 51, 43592
701, 51, 47348
801, 51, 42607
901, 51, 47136
1001, 51, 46462
1101, 51, 47375
1201, 51, 43484
1301, 51, 45969
1401, 51, 46807
1501, 51, 46153
1601, 51, 46650
1701, 51, 49511
1801, 51, 49756
1901, 51, 52227
2001, 51, 48269
2101, 51, 45667
2201, 51, 48754
2301, 51, 47701
