num_operators, num_electrons, time, size
1, 1, 420, 1
101, 1, 32588, 2
201, 1, 61940, 5
301, 1, 93632, 6
401, 1, 130124, 12
501, 1, 175767, 23
601, 1, 242098, 46
701, 1, 324019, 57
801, 1, 407283, 69
901, 1, 531324, 135
1001, 1, 843069, 444
1101, 1, 1664573, 1114
1, 2, 1099, 1
101, 2, 35794, 2
201, 2, 64795, 5
301, 2, 97453, 7
401, 2, 138807, 17
501, 2, 209514, 59
601, 2, 352093, 170
701, 2, 766330, 582
801, 2, 1754777, 1342
1, 3, 748, 1
101, 3, 36112, 10
201, 3, 81503, 45
301, 3, 173857, 135
401, 3, 490025, 519
501, 3, 2584882, 3990
1, 4, 635, 1
101, 4, 48503, 50
201, 4, 279996, 463
301, 4, 1296267, 2518
1, 5, 730, 1
101, 5, 39062, 20
201, 5, 453356, 1052
1, 6, 684, 1
101, 6, 51072, 100
201, 6, 1596223, 4292
1, 7, 1076, 1
101, 7, 54146, 100
1, 8, 762, 1
101, 8, 54893, 120
1, 9, 901, 1
101, 9, 54125, 120
1, 10, 875, 1
101, 10, 47116, 80
1, 11, 753, 1
101, 11, 55343, 120
1, 12, 893, 1
101, 12, 130808, 612
1, 13, 835, 2
101, 13, 542787, 2752
1, 14, 850, 1
101, 14, 649129, 4160
1, 15, 742, 1
101, 15, 563390, 3264
1, 16, 860, 2
101, 16, 843938, 7616
1, 17, 811, 1
101, 17, 770212, 4368
1, 18, 899, 1
101, 18, 628824, 5528
1, 19, 904, 1
101, 19, 684502, 5528
1, 20, 874, 1
101, 20, 1251091, 12160
1, 21, 847, 1
101, 21, 850651, 7436
1, 22, 862, 2
101, 22, 1844721, 17608
1, 23, 833, 1
101, 23, 1829715, 17176
1, 24, 702, 2
101, 24, 1972765, 17960
1, 25, 809, 1
101, 25, 1570066, 15432
