num_wavefunction, num_electrons, time, size
1, 1, 859, 1
101, 1, 2321, 47
201, 1, 3889, 61
301, 1, 6136, 63
401, 1, 6852, 64
501, 1, 8187, 64
601, 1, 8898, 64
701, 1, 10792, 64
801, 1, 12066, 64
901, 1, 12720, 64
1001, 1, 14658, 64
1101, 1, 16640, 64
1201, 1, 18305, 64
1301, 1, 19818, 64
1401, 1, 21285, 64
1501, 1, 22748, 64
1601, 1, 23279, 64
1701, 1, 24039, 64
1801, 1, 25750, 64
1901, 1, 27595, 64
2001, 1, 28418, 64
2101, 1, 41491, 64
2201, 1, 31009, 64
2301, 1, 32399, 64
2401, 1, 33797, 64
2501, 1, 35617, 64
2601, 1, 37890, 64
2701, 1, 40072, 64
2801, 1, 41640, 64
2901, 1, 42251, 64
3001, 1, 41538, 64
3101, 1, 44034, 64
3201, 1, 45561, 64
3301, 1, 46038, 64
3401, 1, 47365, 64
3501, 1, 48920, 64
3601, 1, 50754, 64
3701, 1, 51301, 64
3801, 1, 54162, 64
3901, 1, 54491, 64
4001, 1, 55908, 64
4101, 1, 58259, 64
4201, 1, 59101, 64
4301, 1, 60361, 64
4401, 1, 61991, 64
4501, 1, 63214, 64
4601, 1, 64553, 64
4701, 1, 65928, 64
4801, 1, 78373, 64
4901, 1, 69272, 64
5001, 1, 69804, 64
5101, 1, 70978, 64
5201, 1, 72443, 64
5301, 1, 73853, 64
5401, 1, 75274, 64
5501, 1, 76412, 64
5601, 1, 77837, 64
5701, 1, 79578, 64
5801, 1, 82136, 64
5901, 1, 83851, 64
6001, 1, 85434, 64
6101, 1, 87116, 64
6201, 1, 88165, 64
6301, 1, 90624, 64
6401, 1, 91357, 64
6501, 1, 92656, 64
6601, 1, 95176, 64
6701, 1, 95222, 64
6801, 1, 96099, 64
6901, 1, 97742, 64
7001, 1, 99339, 64
7101, 1, 101181, 64
7201, 1, 100600, 64
7301, 1, 101183, 64
7401, 1, 102513, 64
7501, 1, 104096, 64
7601, 1, 105291, 64
7701, 1, 106821, 64
7801, 1, 108020, 64
7901, 1, 109948, 64
8001, 1, 110540, 64
8101, 1, 113319, 64
8201, 1, 113336, 64
8301, 1, 115761, 64
8401, 1, 116362, 64
8501, 1, 117420, 64
8601, 1, 119252, 64
8701, 1, 120340, 64
8801, 1, 122089, 64
8901, 1, 123152, 64
9001, 1, 124580, 64
9101, 1, 125488, 65
9201, 1, 127190, 64
9301, 1, 128525, 64
9401, 1, 129932, 64
9501, 1, 132532, 64
9601, 1, 132917, 64
9701, 1, 134485, 64
9801, 1, 135645, 64
9901, 1, 137784, 64
1, 2, 1134, 1
101, 2, 2332, 100
201, 2, 3554, 199
301, 2, 4915, 285
401, 2, 6281, 368
501, 2, 8397, 452
601, 2, 9494, 517
701, 2, 10152, 592
801, 2, 12333, 671
901, 2, 13469, 723
1001, 2, 15756, 797
1101, 2, 16118, 877
1201, 2, 17557, 922
1301, 2, 18708, 978
1401, 2, 20721, 1045
1501, 2, 21402, 1073
1601, 2, 23250, 1122
1701, 2, 23973, 1184
1801, 2, 25856, 1213
1901, 2, 27144, 1254
2001, 2, 28751, 1290
2101, 2, 42394, 1369
2201, 2, 31140, 1384
2301, 2, 32568, 1413
2401, 2, 33992, 1451
2501, 2, 35634, 1491
2601, 2, 36667, 1509
2701, 2, 38447, 1548
2801, 2, 39048, 1575
2901, 2, 40971, 1591
3001, 2, 42562, 1604
3101, 2, 43947, 1636
3201, 2, 45098, 1654
3301, 2, 46440, 1669
3401, 2, 48140, 1684
3501, 2, 48905, 1707
3601, 2, 50266, 1719
3701, 2, 52152, 1734
3801, 2, 53403, 1757
3901, 2, 54808, 1778
4001, 2, 55972, 1789
4101, 2, 57266, 1813
4201, 2, 58766, 1834
4301, 2, 60226, 1829
4401, 2, 61667, 1847
4501, 2, 63058, 1856
4601, 2, 64547, 1870
4701, 2, 66679, 1880
4801, 2, 67538, 1892
4901, 2, 68789, 1896
5001, 2, 70051, 1909
5101, 2, 71688, 1914
5201, 2, 72830, 1926
5301, 2, 74681, 1929
5401, 2, 76035, 1937
5501, 2, 76457, 1937
5601, 2, 77897, 1946
5701, 2, 79447, 1952
5801, 2, 80693, 1961
5901, 2, 81858, 1972
6001, 2, 83441, 1971
6101, 2, 85036, 1980
6201, 2, 86386, 1984
6301, 2, 87876, 1985
6401, 2, 89903, 1992
6501, 2, 90280, 1995
6601, 2, 91675, 1995
6701, 2, 93580, 1999
6801, 2, 94300, 2001
6901, 2, 95703, 2006
7001, 2, 97569, 2012
7101, 2, 98747, 2014
7201, 2, 99945, 2021
7301, 2, 101741, 2023
7401, 2, 103238, 2023
7501, 2, 104118, 2024
7601, 2, 105034, 2026
7701, 2, 106490, 2029
7801, 2, 108850, 2027
7901, 2, 109885, 2029
8001, 2, 111064, 2028
8101, 2, 113015, 2032
8201, 2, 112630, 2034
8301, 2, 116426, 2037
8401, 2, 122680, 2039
8501, 2, 119015, 2042
8601, 2, 119202, 2042
8701, 2, 120867, 2046
8801, 2, 122328, 2047
8901, 2, 123593, 2048
9001, 2, 124905, 2049
9101, 2, 125951, 2051
9201, 2, 126518, 2052
9301, 2, 128543, 2053
9401, 2, 129916, 2053
9501, 2, 132107, 2053
9601, 2, 132896, 2053
9701, 2, 134545, 2057
9801, 2, 135874, 2056
9901, 2, 137417, 2059
1, 3, 825, 1
101, 3, 2339, 105
201, 3, 3598, 202
301, 3, 4831, 305
401, 3, 6223, 407
501, 3, 8386, 526
601, 3, 9601, 595
701, 3, 10161, 693
801, 3, 12278, 794
901, 3, 13600, 941
1001, 3, 14878, 1032
1101, 3, 16191, 1084
1201, 3, 17561, 1182
