num_wavefunction, num_electrons, time, size
901, 3, 29950, 941
1001, 3, 27597, 1032
1101, 3, 28021, 1084
1201, 3, 28894, 1182
1301, 3, 27640, 1315
1401, 3, 28784, 1422
1501, 3, 27681, 1473
1601, 3, 27510, 1571
1701, 3, 27716, 1736
1801, 3, 29960, 1770
1901, 3, 27620, 1867
2001, 3, 28434, 2036
2101, 3, 54900, 2146
2201, 3, 31613, 2238
2301, 3, 53186, 2333
2401, 3, 46452, 2338
2501, 3, 56005, 2429
2601, 3, 54759, 2621
2701, 3, 56527, 2620
2801, 3, 53621, 2713
2901, 3, 55534, 2920
3001, 3, 56815, 2898
3101, 3, 54651, 2990
3201, 3, 54703, 3084
3301, 3, 55543, 3291
3401, 3, 56367, 3407
3501, 3, 55631, 3360
3601, 3, 54571, 3588
3701, 3, 55585, 3710
3801, 3, 54333, 3776
3901, 3, 55203, 3730
4001, 3, 56206, 3985
4101, 3, 57822, 3918
4201, 3, 78628, 4000
4301, 3, 60960, 4240
4401, 3, 77874, 4180
4501, 3, 83496, 4271
4601, 3, 81769, 4363
4701, 3, 83683, 4453
4801, 3, 82103, 4544
4901, 3, 81118, 4812
5001, 3, 83406, 4723
5101, 3, 83245, 4816
5201, 3, 80655, 5092
5301, 3, 83134, 5191
5401, 3, 83303, 5305
5501, 3, 82196, 5375
5601, 3, 82920, 5260
5701, 3, 82691, 5534
5801, 3, 81433, 5445
5901, 3, 83317, 5754
6001, 3, 84039, 5838
6101, 3, 108174, 5725
6201, 3, 109108, 6015
6301, 3, 88215, 6117
6401, 3, 104514, 6194
6501, 3, 108423, 6076
6601, 3, 109774, 6160
6701, 3, 110576, 6244
6801, 3, 108957, 6571
6901, 3, 110188, 6635
7001, 3, 109935, 6730
7101, 3, 110440, 6589
7201, 3, 108279, 6890
7301, 3, 110248, 6759
7401, 3, 109919, 7099
7501, 3, 108267, 6917
7601, 3, 110831, 7267
7701, 3, 109589, 7342
7801, 3, 109506, 7174
7901, 3, 110303, 7259
8001, 3, 111266, 7349
8101, 3, 134859, 7703
8201, 3, 114180, 7506
8301, 3, 132200, 7864
8401, 3, 136067, 7665
