num_wavefunction, num_operator, time
1, 1, 1153
101, 1, 650
201, 1, 611
301, 1, 666
401, 1, 1313
501, 1, 1741
601, 1, 779
701, 1, 1292
801, 1, 1166
901, 1, 1258
1001, 1, 874
1101, 1, 1271
1201, 1, 3284
1301, 1, 1088
1401, 1, 1002
1501, 1, 1127
1601, 1, 1264
1701, 1, 1200
1801, 1, 1477
1901, 1, 985
2001, 1, 1388
2101, 1, 1205
2201, 1, 1634
2301, 1, 1422
2401, 1, 1558
2501, 1, 2857
2601, 1, 1527
2701, 1, 1609
2801, 1, 1416
2901, 1, 1277
3001, 1, 1759
3101, 1, 1522
3201, 1, 1634
3301, 1, 1285
3401, 1, 1549
3501, 1, 1632
3601, 1, 1814
3701, 1, 1851
3801, 1, 1658
3901, 1, 1682
4001, 1, 2439
4101, 1, 1550
4201, 1, 2196
4301, 1, 2236
4401, 1, 1885
4501, 1, 1552
4601, 1, 1603
4701, 1, 1798
4801, 1, 1914
4901, 1, 1746
1, 11, 9984
101, 11, 9629
201, 11, 8852
301, 11, 10785
401, 11, 9300
501, 11, 10194
601, 11, 9561
701, 11, 10627
801, 11, 10332
901, 11, 10503
1001, 11, 11055
1101, 11, 9930
1201, 11, 10106
1301, 11, 12393
1401, 11, 11237
1501, 11, 10909
1601, 11, 11763
1701, 11, 10862
1801, 11, 10559
1901, 11, 10875
2001, 11, 11906
2101, 11, 10071
2201, 11, 10660
2301, 11, 10936
2401, 11, 10789
2501, 11, 11699
2601, 11, 10951
2701, 11, 10848
2801, 11, 11334
2901, 11, 11801
3001, 11, 11230
3101, 11, 10954
3201, 11, 11630
3301, 11, 11775
3401, 11, 11623
3501, 11, 12180
3601, 11, 12162
3701, 11, 11935
3801, 11, 12221
3901, 11, 10432
4001, 11, 12012
4101, 11, 12459
4201, 11, 11839
4301, 11, 12193
4401, 11, 11880
4501, 11, 12091
4601, 11, 10610
4701, 11, 11524
4801, 11, 12670
4901, 11, 11659
1, 21, 16744
101, 21, 19321
201, 21, 17050
301, 21, 17293
401, 21, 17192
501, 21, 17195
601, 21, 18449
701, 21, 20050
801, 21, 21548
901, 21, 19502
1001, 21, 20077
1101, 21, 19915
1201, 21, 20831
1301, 21, 21572
1401, 21, 20503
1501, 21, 20152
1601, 21, 21911
1701, 21, 21279
1801, 21, 20455
1901, 21, 18801
2001, 21, 22050
2101, 21, 20255
2201, 21, 22438
2301, 21, 20697
2401, 21, 21810
2501, 21, 21820
2601, 21, 21281
2701, 21, 22289
2801, 21, 20936
2901, 21, 19962
3001, 21, 20734
3101, 21, 20978
3201, 21, 21994
3301, 21, 20747
3401, 21, 21934
3501, 21, 23143
3601, 21, 21082
3701, 21, 21775
3801, 21, 20945
3901, 21, 20565
4001, 21, 19245
4101, 21, 22598
4201, 21, 19988
4301, 21, 21562
4401, 21, 22845
4501, 21, 22426
4601, 21, 21404
4701, 21, 22027
4801, 21, 22109
4901, 21, 20931
1, 31, 27506
101, 31, 26771
201, 31, 27508
301, 31, 26379
401, 31, 24651
501, 31, 30752
601, 31, 27483
701, 31, 28883
801, 31, 29293
901, 31, 28432
1001, 31, 31259
1101, 31, 29533
1201, 31, 31153
1301, 31, 27942
1401, 31, 27494
1501, 31, 30518
1601, 31, 33825
1701, 31, 31499
1801, 31, 31108
1901, 31, 30406
2001, 31, 31269
2101, 31, 31149
2201, 31, 31743
2301, 31, 31276
2401, 31, 33384
2501, 31, 31506
2601, 31, 29951
2701, 31, 32642
2801, 31, 32781
2901, 31, 34175
3001, 31, 29807
3101, 31, 33102
3201, 31, 31924
3301, 31, 33688
3401, 31, 32815
3501, 31, 31063
3601, 31, 31812
3701, 31, 32173
3801, 31, 31569
3901, 31, 32082
4001, 31, 31419
4101, 31, 32761
4201, 31, 33358
4301, 31, 30883
4401, 31, 32229
4501, 31, 31903
4601, 31, 33035
4701, 31, 32116
4801, 31, 32046
4901, 31, 31674
1, 41, 37753
101, 41, 40026
201, 41, 36108
301, 41, 33165
401, 41, 36900
501, 41, 36679
601, 41, 35825
